EQUIPOS PARA REVISION QUITO - GUAYAQUIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITEM;CD;AREA;MODELO;SN;ENE;MANTE_ENE;FEB;MANTE_FEB;MARZO;MANTE_MAR;ABRIL;MANTE_ABRIL;MAYO;MANTE_MAY;JUN;MANTE_JUN;JUL;MANTE_JUL;AGOST;MANTE_AGOSTO;SEP;MANTE_SEP;OCT;MANTE_OCT;NOV;MANTE_NOV;DIC;MANTE_DIC;;
249;CD LOMAS DE SARGENTILLO;SECOS;RS;24069    ;9/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;;;4/6/2024;Mantenimiento preventivo;;;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;;;;
250;CD LOMAS DE SARGENTILLO;SECOS;RS;22098    ;9/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;;;4/6/2024;Mantenimiento preventivo;;;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;;;;
251;CD LOMAS DE SARGENTILLO;SECOS;RS;21616    ;9/1/2024;Base RS;7/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;;;4/6/2024;Mantenimiento preventivo;;;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;;;;
252;CD LOMAS DE SARGENTILLO;SECOS;RS;20231    ;9/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;;;4/6/2024;Mantenimiento preventivo;;;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;;;;
253;CD LOMAS DE SARGENTILLO;SECOS;RS;20068    ;9/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;;;4/6/2024;Mantenimiento preventivo;;;1/8/2024;Boton gatillo rs19;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;;;;
254;CD LOMAS DE SARGENTILLO;SECOS;RS;20156    ;9/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;;;4/6/2024;Mantenimiento preventivo;;;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;;;;
255;CD LOMAS DE SARGENTILLO;SECOS;RS;20100    ;9/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;;;4/6/2024;Mantenimiento preventivo;;;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;;;;
256;CD LOMAS DE SARGENTILLO;SECOS;RS;22295    ;9/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;;;4/6/2024;Mantenimiento preventivo;;;7/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;;;;
257;CD LOMAS DE SARGENTILLO;SECOS;ZT410;18J160301414;11/1/2024;Base RS;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
;;;;18J160301414;11/1/2024;Scan lent;;;;;;;;;;;;;;;;;;;;;;;;
258;CD LOMAS DE SARGENTILLO;SECOS;ZD230d;D5J214804305;11/1/2024;Mantenimiento Preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
259;CD LOMAS DE SARGENTILLO;SECOS;GC420D;53J192502599;11/1/2024;Mantenimiento Preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;;;;;7/11/2024;Dado de baja;;;;
260;CD LOMAS DE SARGENTILLO;SECOS;ZT410;18J182501409;11/1/2024;Mantenimiento Preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
261;CD LOMAS DE SARGENTILLO;SECOS;MC92;19337010559305    ;11/1/2024;Teclado con protector;14/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;18/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;11/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;12/9/2024;Teclado con protector;10/10/2024;Mantenimiento preventivo;14/11/2024;Carcasa inferior;5/12/2024;Mantenimiento preventivo;;
;;;;19337010559305    ;;;;;;;;;;;;;;;;;;;;;14/11/2024;Boton gatillo;;;;
262;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505113    ;9/1/2024;Mantenimiento Preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;18/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;;;11/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;;;3/10/2024;Seguro de bateria;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
263;CD LOMAS DE SARGENTILLO;SECOS;MC92;1504800503850    ;9/1/2024;Mantenimiento Preventivo;14/2/2024;Mantenimiento preventivo;;;18/4/2024;Mantenimiento preventivo;9/5/2024;Carcasa inferior;;;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;10/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
264;CD LOMAS DE SARGENTILLO;SECOS;MC92;1632700500556    ;31/1/2024;Mantenimiento Preventivo;7/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;18/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;;;4/7/2024;Mantenimiento preventivo;8/8/2024;Mantenimiento preventivo;5/9/2024;Teclado con protector;17/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Carcasa superior;;
265;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505038    ;9/1/2024;Mantenimiento Preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;11/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;7/8/2024;Se devuelve equipo;5/9/2024;Teclado con protector;10/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
;;;;1505000505038    ;;;;;;;;;;;;;;;1/8/2024;Se retira a laboratorio;;;;;;;;;;
266;CD LOMAS DE SARGENTILLO;SECOS;MC92;1632700500598    ;31/1/2024;Mantenimiento Preventivo;21/2/2024;Mantenimiento preventivo;;;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;11/6/2024;Escaner;11/7/2024;Mantenimiento preventivo;8/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Boton gatillo;7/11/2024;Teclado con protector;18/12/2024;Seguro de bateria;;
;;;;1632700500598    ;;;;;;;;;;;;;;;;;;;;;;;18/12/2024;Teclado con protector;;
;;;;1632700500598    ;;;;;;;;;;;;;;;;;;;;;;;5/12/2024;Mantenimiento preventivo;;
267;CD LOMAS DE SARGENTILLO;SECOS;MC92;1632700500572    ;31/1/2024;Mantenimiento Preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;;;11/7/2024;Mantenimiento preventivo;1/8/2024;Seguro de bateria;5/9/2024;Mantenimiento preventivo;10/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
268;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505039    ;9/1/2024;Mantenimiento preventivo;14/2/2024;Carcasa inferior;27/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;11/6/2024;Carcasa inferior;4/7/2024;Mantenimiento preventivo;8/8/2024;Seguro de bateria;5/9/2024;Mantenimiento preventivo;17/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
269;CD LOMAS DE SARGENTILLO;SECOS;MC92;1833300501158    ;9/1/2024;Mantenimiento Preventivo;21/2/2024;Mantenimiento preventivo;;;18/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;11/6/2024;Mantenimiento preventivo;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;10/10/2024;Mantenimiento preventivo;7/11/2024;Carcasa inferior;12/12/2024;Teclado con protector;;
;;;;1833300501158    ;;;;;;;;;;;;;;;;;;;;;7/11/2024;Boton gatillo;5/12/2024;Mantenimiento preventivo;;
270;CD LOMAS DE SARGENTILLO;SECOS;MC92;1833400500694    ;31/1/2024;Mantenimiento Preventivo;14/2/2024;Mantenimiento preventivo;;;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;;;;;;;17/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
271;CD LOMAS DE SARGENTILLO;SECOS;MC92;1632700500665    ;11/1/2024;Carcasa inferior;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;18/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;;;11/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;14/11/2024;Teclado con protector;5/12/2024;Mantenimiento preventivo;;
;;;;1632700500665    ;11/1/2024;Teclado con protector;;;;;;;;;;;;;;;;;;;;;;;;
272;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505136    ;9/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;18/4/2024;Teclado con protector;2/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
273;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505140    ;9/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;;;4/7/2024;Boton gatillo;1/8/2024;Mantenimiento preventivo;;;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
274;CD LOMAS DE SARGENTILLO;SECOS;MC92;19337010559258    ;31/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;18/4/2024;Carcasa inferior;9/5/2024;Seguro de bateria;;;;;1/8/2024;Mantenimiento preventivo;12/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;14/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
275;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505025    ;9/1/2024;Mantenimiento preventivo;;;;;17/4/2024;Mantenimiento preventivo;;;11/6/2024;Flex de video;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Teclado con protector;3/10/2024;Mantenimiento preventivo;14/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
;;;;1505000505025    ;;;;;;;;;;;11/6/2024;Tactil;;;;;;;;;;;;;;
;;;;1505000505025    ;;;;;;;;;;;11/6/2024;Flex interno;;;;;;;;;;;;;;
276;CD LOMAS DE SARGENTILLO;SECOS;MC92;1833400500681    ;11/1/2024;Carcasa inferior;7/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
;;;;1833400500681    ;11/1/2024;Teclado con protector;;;;;;;;;;;;;;;;;;;;;;;;
277;CD LOMAS DE SARGENTILLO;SECOS;MC92;1833300501155    ;9/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;;;8/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;17/10/2024;Mantenimiento preventivo;14/11/2024;Carcasa inferior;5/12/2024;Seguro de bateria;;
;;;;1833300501155    ;;;;;;;;;;;;;;;;;;;;;14/11/2024;Boton gatillo;;;;
;;;;1833300501155    ;;;;;;;;;;;;;;;;;;;;;7/11/2024;Mantenimiento preventivo;;;;
278;CD LOMAS DE SARGENTILLO;SECOS;MC92;1632700500558    ;9/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;4/6/2024;Teclado con protector;11/7/2024;Mantenimiento preventivo;8/8/2024;Mantenimiento preventivo;12/9/2024;Mantenimiento preventivo;3/10/2024;Seguro de bateria;14/11/2024;Boton gatillo;5/12/2024;Mantenimiento preventivo;;
;;;;1632700500558    ;;;;;;;;;;;;;;;;;;;;;7/11/2024;Mantenimiento preventivo;;;;
279;CD LOMAS DE SARGENTILLO;SECOS;MC92;19337010559255    ;9/1/2024;Mantenimiento preventivo;14/2/2024;Carcasa inferior;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;9/5/2024;Carcasa inferior;4/6/2024;Mantenimiento preventivo;11/7/2024;Teclado con protector;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
;;;;19337010559255    ;;;;;;;;;9/5/2024;Seguro de bateria;;;4/7/2024;Carcasa inferior;;;;;;;;;;;;
;;;;19337010559255    ;;;;;;;;;9/5/2024;Teclado con protector;;;;;;;;;;;;;;;;
280;CD LOMAS DE SARGENTILLO;SECOS;MC92;1813700502645    ;31/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;18/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;8/8/2024;Tactil;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;14/11/2024;Mantenimiento preventivo;18/12/2024;Mantenimiento preventivo;;
281;CD LOMAS DE SARGENTILLO;SECOS;MC92;19337010559253    ;9/1/2024;Mantenimiento preventivo;14/2/2024;Teclado con protector;27/3/2024;Mantenimiento preventivo;10/4/2024;Carcasa inferior;2/5/2024;Mantenimiento preventivo;;;4/7/2024;Carcasa inferior;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
282;CD LOMAS DE SARGENTILLO;SECOS;MC92;1632700500557    ;9/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Carcasa inferior;18/4/2024;Mantenimiento preventivo;9/5/2024;Carcasa inferior;11/6/2024;Tactil;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;17/10/2024;Mantenimiento preventivo;14/11/2024;Teclado con protector;12/12/2024;Mantenimiento preventivo;;
283;CD LOMAS DE SARGENTILLO;SECOS;MC92;1833300501160    ;31/1/2024;Teclado con protector;14/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;;;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;12/9/2024;Mantenimiento preventivo;3/10/2024;Carcasa inferior;7/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
;;;;1833300501160    ;;;;;;;;;;;;;;;;;;;3/10/2024;Boton gatillo;;;;;;
284;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505055    ;9/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;18/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;;;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;10/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
285;CD LOMAS DE SARGENTILLO;SECOS;MC92;1632700500659    ;31/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;13/3/2024;Teclado con protector;;;9/5/2024;Mantenimiento preventivo;;;;;1/8/2024;Carcasa inferior;12/9/2024;Mantenimiento preventivo;17/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
286;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505124    ;11/1/2024;Carcasa inferior;14/2/2024;Mantenimiento preventivo;13/3/2024;Colocan tornillos;18/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;14/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
287;CD LOMAS DE SARGENTILLO;SECOS;MC92;1632700500564    ;11/1/2024;Carcasa inferior;7/2/2024;Mantenimiento preventivo;13/3/2024;Colocan tornillos;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;1/8/2024;Se retira a laboratorio;4/9/2024;Se pide la baja;;;7/11/2024;Dado de baja;;;;
;;;;1632700500564    ;11/1/2024;Teclado con protector;;;;;;;;;;;;;;;;;;;;;;;;
288;CD LOMAS DE SARGENTILLO;SECOS;ZD230d;D4N222900041;11/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
289;CD LOMAS DE SARGENTILLO;SECOS;GC420D;53J194203022;11/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;;;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;;;7/11/2024;Dado de baja;;;;
290;CD LOMAS DE SARGENTILLO;SECOS;ZT411;99N230200191;11/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;;;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
291;CD LOMAS DE SARGENTILLO;SECOS;ZT411;99N230200307;11/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;;;4/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
292;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505094    ;31/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;18/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;;;4/7/2024;Teclado con protector;1/8/2024;Mantenimiento preventivo;5/9/2024;Boton gatillo;17/10/2024;Seguro de bateria;7/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
;;;;1505000505094    ;;;;;;;;;;;;;;;;;;;10/10/2024;Seguro de bateria;;;;;;
;;;;1505000505094    ;;;;;;;;;;;;;;;;;;;3/10/2024;Mantenimiento preventivo;;;;;;
293;CD LOMAS DE SARGENTILLO;SECOS;MC92;1632700500561    ;11/1/2024;Carcasa inferior;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;8/8/2024;Mantenimiento preventivo;12/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;14/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
294;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505065    ;9/1/2024;Mantenimiento preventivo;14/2/2024;Carcasa inferior;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;;;4/7/2024;Tactil;1/8/2024;Seguro de bateria;5/9/2024;Carcasa inferior;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Teclado con protector;;
;;;;1505000505065    ;;;;;;;;;;;;;;;;;;;;;;;5/12/2024;Boton gatillo;;
295;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505090    ;31/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;11/6/2024;Bateria interna;11/7/2024;Tactil;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;10/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
;;;;1505000505090    ;;;;;;;;;;;;;4/7/2024;Mantenimiento preventivo;;;;;;;;;;;;
296;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505173    ;31/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;;;18/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;11/6/2024;Teclado con protector;11/7/2024;Teclado con protector;;;5/9/2024;Mantenimiento preventivo;10/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Seguro de bateria;;
;;;;1505000505173    ;;;;;;;;;;;;;4/7/2024;Carcasa inferior;;;;;;;;;;;;
297;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505155    ;9/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;;;10/4/2024;Mantenimiento preventivo;2/5/2024;Mantenimiento preventivo;4/6/2024;Mantenimiento preventivo;11/7/2024;Boton gatillo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;10/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
;;;;1505000505155    ;11/1/2024;Teclado con protector;7/2/2024;Mantenimiento preventivo;27/3/2024;Mantenimiento preventivo;18/4/2024;Mantenimiento preventivo;;;;;4/7/2024;Teclado con protector;;;;;;;;;;;;
298;CD LOMAS DE SARGENTILLO;SECOS;MC92;1632700500674    ;;;;;;;;;;;;;11/7/2024;Carcasa inferior;8/8/2024;Boton gatillo;12/9/2024;Teclado con protector;10/10/2024;Carcasa inferior;7/11/2024;Mantenimiento preventivo;26/12/2024;Carcasa superior;;
;;;;1632700500674    ;;;;;;;;;;;;;;;;;;;;;;;26/12/2024;Flex interno;;
;;;;1632700500674    ;;;;;;;;;;;;;;;;;;;;;;;5/12/2024;Mantenimiento preventivo;;
299;CD LOMAS DE SARGENTILLO;SECOS;MC92;1505000505052    ;31/1/2024;Mantenimiento preventivo;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;18/4/2024;Mantenimiento preventivo;;;4/6/2024;Mantenimiento preventivo;11/7/2024;Carcasa inferior;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;17/10/2024;Mantenimiento preventivo;14/11/2024;Mantenimiento preventivo;5/12/2024;Mantenimiento preventivo;;
300;CD LOMAS DE SARGENTILLO;SECOS;MC92;19283010559214    ;11/1/2024;Teclado con protector;14/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;10/4/2024;Carcasa inferior;9/5/2024;Seguro de bateria;4/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;1/8/2024;Mantenimiento preventivo;5/9/2024;Mantenimiento preventivo;3/10/2024;Mantenimiento preventivo;7/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
;;;;19283010559214    ;;;;;;;;;2/5/2024;Mantenimiento preventivo;;;;;;;;;;;;;;;;
